repository,total_events,active_contributors,bot_events,first_event,last_event,pr_events,issue_events,bot_ratio
hwchase17/langchain,1127,139,0,2023-01-01 00:17:54,2023-01-31 23:12:45,445,327,0.0
CCIT-Team/NANOECO,1127,7,0,2023-01-01 23:48:04,2023-01-12 02:30:05,4,0,0.0
hashicorp/terraform,1125,236,151,2023-01-01 02:18:19,2023-01-31 22:38:12,151,713,0.13422222222222221
OpenNMS/opennms,1124,25,109,2023-01-02 13:20:30,2023-01-31 22:57:00,241,94,0.09697508896797152
OpenAPITools/openapi-generator,1123,277,33,2023-01-01 06:52:29,2023-01-31 23:59:50,247,697,0.029385574354407838
ShadowMario/FNF-PsychEngine,1121,216,0,2023-01-01 00:00:00,2023-01-31 23:56:47,30,1082,0.0
kubeflow/pipelines,1121,67,614,2023-01-02 22:11:17,2023-01-31 23:54:55,111,736,0.5477252453166815
artsy/eigen,1120,27,280,2023-01-03 10:58:29,2023-01-31 22:47:23,359,177,0.25
inventree/InvenTree,1119,51,67,2023-01-01 00:00:48,2023-01-31 23:59:56,124,576,0.05987488829311886
demarches-simplifiees/demarches-simplifiees.fr,1119,24,82,2023-01-02 08:55:23,2023-01-31 22:27:38,311,306,0.07327971403038427
Esri/calcite-components,1119,49,88,2023-01-01 00:11:46,2023-01-31 23:58:10,180,531,0.07864164432529044
chapel-lang/chapel,1119,32,0,2023-01-02 02:34:15,2023-01-31 23:37:16,279,715,0.0
facebook/jest,1118,186,350,2023-01-01 00:09:35,2023-01-31 22:23:09,207,840,0.31305903398926654
openvinotoolkit/training_extensions,1118,27,22,2023-01-02 00:37:05,2023-01-31 23:25:49,238,278,0.01967799642218247
GoogleCloudPlatform/python-docs-samples,1117,49,382,2023-01-02 14:06:15,2023-01-31 21:41:40,186,597,0.341987466427932
flix/flix,1117,14,16,2023-01-01 11:04:36,2023-01-31 19:26:41,271,698,0.01432408236347359
eclipse/sumo,1116,51,0,2023-01-01 04:58:44,2023-01-31 21:17:06,11,669,0.0
michael-maltsev/technion-histograms,1116,6,79,2023-01-01 08:06:36,2023-01-31 20:58:17,0,0,0.07078853046594982
localstack/localstack,1115,124,152,2023-01-01 04:50:01,2023-01-31 23:04:34,197,541,0.13632286995515694
charmverse/app.charmverse.io,1114,9,5,2023-01-02 10:52:18,2023-01-31 22:25:36,378,43,0.004488330341113106
codestates-seb/seb41_main_022,1114,7,217,2023-01-04 14:13:05,2023-01-31 16:40:30,472,304,0.1947935368043088
NHN-YesAladin/yesaladin_shop,1114,8,0,2023-01-03 01:49:26,2023-01-31 15:46:53,414,257,0.0
redpanda-data/documentation,1113,41,65,2023-01-03 09:55:46,2023-01-31 20:27:18,125,520,0.05840071877807727
damus-io/damus,1112,78,73,2023-01-01 00:50:20,2023-01-31 23:53:52,323,615,0.06564748201438848
AliceO2Group/AliceO2,1111,47,387,2023-01-01 00:02:25,2023-01-31 17:48:13,265,353,0.3483348334833483
612901/661111,1110,6,10,2023-01-01 02:13:53,2023-01-30 12:10:52,6,10,0.009009009009009009
User083/StaffsColab23,1109,7,0,2023-01-03 12:03:27,2023-01-31 19:40:55,20,0,0.0
weseek/growi,1109,19,332,2023-01-01 11:46:28,2023-01-31 21:52:32,251,332,0.2993688007213706
BuilderIO/qwik,1108,103,200,2023-01-01 08:06:44,2023-01-31 23:49:31,254,643,0.18050541516245489
vitejs/vite,1107,310,75,2023-01-01 03:17:46,2023-01-31 22:57:46,206,783,0.06775067750677506
eclipse-che/che-operator,1106,14,99,2023-01-01 01:46:33,2023-01-31 23:12:33,36,1035,0.08951175406871609
OpenIndiana/oi-userland,1106,11,0,2023-01-01 07:04:29,2023-01-31 22:43:15,720,29,0.0
vchumack/petsSupport_front,1105,11,296,2023-01-01 19:50:33,2023-01-27 19:06:17,257,408,0.2678733031674208
microsoft/vscode-jupyter,1105,135,8,2023-01-02 18:13:26,2023-01-31 23:34:05,175,767,0.007239819004524887
percona/pmm,1104,35,437,2023-01-01 07:38:32,2023-01-31 17:00:08,188,182,0.3958333333333333
GataNina-Li/GataBot-MD,1103,7,0,2023-01-01 20:39:20,2023-01-31 23:54:22,1,2,0.0
StaticJsCMS/static-cms,1103,22,461,2023-01-02 13:31:27,2023-01-31 21:52:12,277,448,0.41795104261106075
AliMD/alwatr,1102,7,312,2023-01-01 08:16:55,2023-01-31 19:17:06,262,195,0.2831215970961887
pixiebrix/pixiebrix-extension,1101,15,265,2023-01-01 02:58:10,2023-01-31 23:42:05,254,472,0.24069028156221617
hpi-swt2/bookkeeper-portal-red,1101,43,5,2023-01-01 22:15:57,2023-01-31 23:41:57,190,372,0.004541326067211626
plone/volto,1100,58,232,2023-01-01 00:02:05,2023-01-31 22:42:17,179,594,0.2109090909090909
symfony/symfony-docs,1100,68,9,2023-01-01 12:26:53,2023-01-31 20:53:47,294,405,0.008181818181818182
neo4j/graphql,1099,34,536,2023-01-01 01:35:38,2023-01-31 17:58:46,232,456,0.48771610555050043
ScoopInstaller/Extras,1099,155,431,2023-01-01 00:33:47,2023-01-31 23:11:33,146,698,0.3921747042766151
anoma/namada,1098,23,29,2023-01-01 20:04:36,2023-01-31 18:56:55,152,498,0.026411657559198543
codinasion/hello-world,1096,21,52,2023-01-21 20:59:41,2023-01-31 17:45:15,48,1026,0.04744525547445255
kairos-io/kairos,1096,22,301,2023-01-01 20:05:18,2023-01-31 22:50:14,184,468,0.27463503649635035
aws-amplify/amplify-cli,1096,172,2,2023-01-01 02:48:38,2023-01-31 23:41:00,166,673,0.0018248175182481751
Localitos/pluto,1095,9,874,2023-01-03 15:58:13,2023-01-30 20:44:23,238,226,0.7981735159817351
meilisearch/meilisearch,1095,44,418,2023-01-01 00:06:47,2023-01-31 19:24:56,125,577,0.3817351598173516
apache/iotdb,1094,57,158,2023-01-01 00:05:25,2023-01-31 16:53:35,468,226,0.14442413162705667
paperless-ngx/paperless-ngx,1094,127,75,2023-01-01 00:11:53,2023-01-31 23:09:41,161,607,0.06855575868372943
louislam/uptime-kuma,1093,292,62,2023-01-01 05:57:10,2023-01-31 22:57:17,120,882,0.056724611161939616
codestates-seb/seb41_main_021,1092,7,91,2023-01-04 15:41:32,2023-01-31 11:04:55,483,174,0.08333333333333333
aws/karpenter,1092,121,248,2023-01-01 00:59:05,2023-01-31 22:53:58,264,671,0.2271062271062271
saltstack/salt,1092,135,50,2023-01-01 13:21:35,2023-01-31 23:13:38,217,455,0.045787545787545784
liferay-forms/liferay-portal,1092,30,0,2023-01-02 10:50:07,2023-01-31 22:16:29,69,942,0.0
umbraco/Umbraco-CMS,1092,97,82,2023-01-02 00:25:50,2023-01-31 18:54:38,144,713,0.07509157509157509
ecency/ecency-mobile,1091,5,2,2023-01-01 22:09:12,2023-01-31 03:03:05,88,9,0.0018331805682859762
hmcts/sptribs-case-api,1091,16,415,2023-01-03 10:03:57,2023-01-31 19:02:57,265,12,0.38038496791934007
lnbits/lnbits,1090,33,0,2023-01-01 13:50:28,2023-01-31 23:24:10,281,301,0.0
Gosrock/DuDoong-Backend,1090,7,201,2023-01-01 02:48:26,2023-01-31 19:39:26,244,422,0.18440366972477065
hpcaitech/ColossalAI,1090,70,107,2023-01-01 16:45:08,2023-01-31 10:40:24,393,483,0.0981651376146789
KratosMultiphysics/Kratos,1089,47,1,2023-01-01 00:33:33,2023-01-31 20:41:46,150,326,0.0009182736455463728
anuraghazra/github-readme-stats,1088,380,85,2023-01-02 07:15:51,2023-01-31 22:56:36,117,897,0.078125
stellar-expert/public-directory,1088,9,0,2023-01-01 13:15:28,2023-01-31 19:28:52,0,207,0.0
Shopify/polaris,1088,76,151,2023-01-02 03:04:53,2023-01-31 23:51:48,173,495,0.13878676470588236
jellyfin/jellyfin,1088,307,154,2023-01-01 00:06:26,2023-01-31 23:23:23,162,846,0.14154411764705882
ludwig-ai/ludwig,1086,23,197,2023-01-01 00:35:31,2023-01-31 23:57:49,228,188,0.18139963167587478
github/codeql,1085,102,98,2023-01-01 14:39:15,2023-01-31 21:02:53,387,406,0.09032258064516129
codestates-seb/seb41_main_027,1085,6,0,2023-01-03 12:33:10,2023-01-31 06:30:34,430,88,0.0
29ki/29k,1085,11,403,2023-01-02 13:19:34,2023-01-31 22:07:37,476,36,0.37142857142857144
rapidsai/cugraph,1085,31,657,2023-01-01 22:05:58,2023-01-31 22:43:17,123,372,0.6055299539170507
BeeStation/BeeStation-Hornet,1083,69,274,2023-01-01 00:06:05,2023-01-31 23:53:39,240,584,0.2530009233610342
Superalgos/Governance-Plugins,1082,37,0,2023-01-01 07:38:02,2023-01-31 19:36:00,546,268,0.0
laurent22/joplin,1082,202,215,2023-01-01 00:46:08,2023-01-31 23:51:49,119,813,0.1987060998151571
aws/sagemaker-python-sdk,1082,68,852,2023-01-01 08:44:40,2023-01-31 23:24:18,71,982,0.7874306839186691
VKCOM/VKUI,1079,21,523,2023-01-02 05:03:31,2023-01-31 17:37:33,216,504,0.484708063021316
GoogleCloudPlatform/spring-cloud-gcp,1078,33,466,2023-01-02 04:04:43,2023-01-31 22:54:35,271,465,0.4322820037105751
FFarmFFarm/FarmFarm,1078,7,0,2023-01-01 04:04:36,2023-01-30 02:13:40,329,0,0.0
help-me-mom/ng-mocks,1078,9,494,2023-01-02 12:31:00,2023-01-31 12:44:34,397,367,0.4582560296846011
BattletechModders/RogueTech,1076,18,0,2023-01-01 02:44:36,2023-01-31 22:51:34,567,10,0.0
friendica/friendica,1075,69,0,2023-01-01 02:47:36,2023-01-31 22:24:25,164,828,0.0
evcc-io/evcc,1075,99,7,2023-01-01 07:05:52,2023-01-31 22:38:41,148,675,0.0065116279069767444
foxglove/studio,1075,34,290,2023-01-01 01:19:14,2023-01-31 23:17:18,375,231,0.26976744186046514
freeCodeCamp/chapter,1074,16,660,2023-01-01 03:20:10,2023-01-31 23:43:11,261,314,0.6145251396648045
swisspost/design-system,1074,11,641,2023-01-03 09:37:37,2023-01-31 21:45:29,165,570,0.5968342644320298
streamlit/streamlit,1073,161,13,2023-01-02 00:35:37,2023-01-31 23:57:55,170,373,0.012115563839701771
apache/netbeans,1073,99,0,2023-01-01 00:53:58,2023-01-31 21:37:20,253,728,0.0
TSvM777/Ratatouille,1072,5,0,2023-01-09 15:45:21,2023-01-20 11:49:42,500,0,0.0
sktime/sktime,1072,61,10,2023-01-01 04:06:33,2023-01-31 23:56:33,180,584,0.009328358208955223
iTwin/itwinjs-core,1071,55,21,2023-01-01 05:01:42,2023-01-31 22:32:57,222,277,0.0196078431372549
Anuken/Mindustry,1070,134,9,2023-01-01 13:02:38,2023-01-31 23:01:00,151,789,0.008411214953271028
wowsims/wotlk,1068,74,200,2023-01-01 03:19:10,2023-01-31 22:53:29,383,189,0.18726591760299627
Supreme-Shoekream/Shoekream,1068,7,0,2023-01-01 00:43:29,2023-01-31 18:11:07,472,49,0.0
hashicorp/terraform-provider-google,1068,202,202,2023-01-01 02:19:08,2023-01-31 23:36:32,228,716,0.1891385767790262
mage-ai/mage-ai,1068,21,1,2023-01-01 00:44:41,2023-01-31 23:56:21,418,93,0.0009363295880149813
kiegroup/drools,1064,22,144,2023-01-02 19:01:37,2023-01-31 21:28:16,118,846,0.13533834586466165
jbx-protocol/juice-interface,1063,10,103,2023-01-01 00:33:00,2023-01-31 23:49:32,207,464,0.09689557855126998
ForumMagnum/ForumMagnum,1063,17,37,2023-01-02 08:35:02,2023-01-31 23:55:38,380,152,0.034807149576669805
yldio/asap-hub,1063,13,301,2023-01-02 10:11:19,2023-01-31 18:09:56,273,138,0.2831608654750706
hpi-swt2/bookkeeper-portal-blue,1063,41,0,2023-01-02 10:35:45,2023-01-31 22:53:04,187,330,0.0
stolostron/console,1062,23,789,2023-01-03 14:52:08,2023-01-31 21:33:23,178,664,0.7429378531073446
rust-lang/rust-clippy,1062,134,57,2023-01-01 07:44:58,2023-01-31 22:34:21,121,800,0.05367231638418079
g0v/amis-moedict,1061,5,516,2023-01-01 08:56:51,2023-01-31 13:34:55,5,1,0.48633364750235625
dotansimha/graphql-yoga,1061,30,751,2023-01-01 13:01:47,2023-01-31 23:44:14,170,406,0.7078228086710651
transcom/mymove,1061,36,263,2023-01-02 11:02:05,2023-01-31 23:56:51,284,214,0.2478793590951932
TAIsRich/chuwa0116,1061,39,0,2023-01-17 03:22:23,2023-01-31 18:57:06,482,123,0.0
wordpress-mobile/WordPress-Android,1060,39,363,2023-01-02 09:30:06,2023-01-31 23:57:12,173,615,0.3424528301886792
dolthub/dolt,1060,33,97,2023-01-01 02:35:33,2023-01-31 23:55:47,280,313,0.09150943396226414
appium/appium,1060,87,426,2023-01-01 07:05:47,2023-01-31 23:01:42,157,434,0.4018867924528302
Azure/azure-sdk-for-go,1059,85,153,2023-01-01 01:06:59,2023-01-31 23:52:46,232,520,0.14447592067988668
codestates-seb/seb41_main_015,1058,7,0,2023-01-03 14:42:13,2023-01-31 07:37:40,464,141,0.0
grafana/oncall,1057,63,11,2023-01-02 11:21:52,2023-01-31 21:51:26,279,254,0.010406811731315043
cockpit-project/cockpit,1057,61,23,2023-01-01 04:07:29,2023-01-31 22:52:40,232,699,0.021759697256385997
foundry-rs/foundry,1056,161,0,2023-01-01 10:21:43,2023-01-31 22:03:23,199,714,0.0
ETCGrantsDAO/etc-grants-dao-website,1054,8,156,2023-01-10 23:55:38,2023-01-31 23:08:52,319,587,0.14800759013282733
deepset-ai/haystack,1053,59,1,2023-01-01 01:43:08,2023-01-31 22:55:53,208,497,0.000949667616334283
organicmaps/organicmaps,1051,106,0,2023-01-01 00:18:49,2023-01-31 23:42:24,129,733,0.0
dartsim/dart,1051,8,116,2023-01-01 00:08:42,2023-01-31 22:05:16,81,43,0.11037107516650808
faker-js/faker,1051,33,153,2023-01-01 01:04:57,2023-01-31 19:33:48,155,501,0.1455756422454805
pokeclicker/pokeclicker,1051,87,2,2023-01-01 01:33:34,2023-01-31 18:42:26,219,689,0.0019029495718363464
projectdiscovery/nuclei-templates,1051,65,232,2023-01-01 04:02:32,2023-01-31 22:35:53,363,164,0.22074215033301617
craftcms/cms,1050,69,5,2023-01-01 01:59:01,2023-01-31 23:46:25,76,309,0.004761904761904762
sct/overseerr,1050,80,605,2023-01-01 02:54:58,2023-01-31 20:47:46,113,316,0.5761904761904761
keymanapp/keyman,1049,23,96,2023-01-01 00:03:43,2023-01-31 22:42:47,211,539,0.09151572926596759
curl/curl,1049,119,0,2023-01-01 07:41:36,2023-01-31 22:55:56,209,669,0.0
alist-org/alist,1048,197,427,2023-01-01 00:02:39,2023-01-31 21:12:21,84,886,0.4074427480916031
iotaledger/firefly,1048,28,143,2023-01-01 18:06:46,2023-01-31 23:54:12,180,244,0.1364503816793893
iFixit/react-commerce,1048,30,162,2023-01-02 17:44:36,2023-01-31 22:11:56,159,565,0.15458015267175573
lumapu/ahoy,1045,97,0,2023-01-01 07:48:03,2023-01-31 22:23:53,42,966,0.0
PixelExperience/android-issues,1045,178,469,2023-01-01 07:05:53,2023-01-31 18:32:24,0,1045,0.44880382775119615
mad-ang/momstown-client,1044,5,0,2023-01-02 12:38:25,2023-01-29 07:33:27,426,5,0.0
autowarefoundation/autoware.universe,1043,73,259,2023-01-01 00:08:18,2023-01-31 23:43:24,294,481,0.2483221476510067
Crown-Commercial-Service/ccs-scale-cat-buyer-ui,1043,13,3,2023-01-02 05:39:44,2023-01-31 12:54:34,541,0,0.0028763183125599234
department-of-veterans-affairs/abd-vro,1043,23,25,2023-01-01 14:59:35,2023-01-31 23:56:21,219,206,0.023969319271332695
attribsolutions/Manthan,1043,5,0,2023-01-02 04:30:39,2023-01-31 12:48:53,344,0,0.0
Carlosmedina06/BookYou,1042,10,65,2023-01-16 06:02:47,2023-01-31 23:15:56,350,74,0.06238003838771593
belgattitude/nextjs-monorepo-example,1042,7,750,2023-01-01 14:55:19,2023-01-31 18:23:01,305,569,0.7197696737044146
dfinity/nns-dapp,1042,11,2,2023-01-02 12:36:07,2023-01-31 17:50:53,219,86,0.0019193857965451055
near/nearcore,1041,50,281,2023-01-02 09:11:57,2023-01-31 22:47:37,281,325,0.26993275696445723
pytorch/xla,1040,39,0,2023-01-01 06:55:48,2023-01-31 23:53:50,208,387,0.0
AudiusProject/audius-protocol,1040,21,41,2023-01-02 11:01:56,2023-01-31 23:47:27,284,87,0.03942307692307692
hrydgard/ppsspp,1039,96,0,2023-01-01 05:58:22,2023-01-31 23:05:59,256,579,0.0
pnp/cli-microsoft365,1039,22,18,2023-01-01 04:45:12,2023-01-31 23:36:06,129,869,0.017324350336862367
kyma-project/busola,1036,14,761,2023-01-01 13:53:46,2023-01-31 21:36:00,105,890,0.7345559845559846
getsentry/sentry-docs,1036,90,220,2023-01-02 08:22:32,2023-01-31 22:02:21,298,351,0.21235521235521235
Azure/communication-ui-library,1035,26,513,2023-01-02 08:17:58,2023-01-31 22:32:04,108,583,0.4956521739130435
isomerpages/nlb-ba,1035,6,0,2023-01-02 06:41:44,2023-01-31 10:42:17,38,0,0.0
2dust/v2rayN,1035,254,0,2023-01-01 11:42:31,2023-01-31 20:03:36,19,962,0.0
unicode-org/icu4x,1035,28,496,2023-01-01 00:09:16,2023-01-31 21:32:10,127,415,0.4792270531400966
rderekp/The-Grand-Combo,1035,5,0,2023-01-01 18:33:21,2023-01-31 17:46:14,84,23,0.0
nextcloud/all-in-one,1034,50,82,2023-01-01 12:50:23,2023-01-31 20:11:26,198,419,0.07930367504835589
folke/lazy.nvim,1034,132,146,2023-01-01 08:41:47,2023-01-31 20:35:06,69,737,0.14119922630560927
ministryofjustice/laa-apply-for-legal-aid,1032,8,467,2023-01-02 03:02:02,2023-01-31 16:22:40,321,393,0.45251937984496127
hedgedoc/hedgedoc,1032,20,693,2023-01-01 15:04:48,2023-01-31 20:49:52,247,169,0.6715116279069767
RasaHQ/rasa,1031,39,255,2023-01-02 12:03:30,2023-01-31 17:46:17,118,634,0.24733268671193018
nasa/openmct,1031,20,133,2023-01-02 20:01:12,2023-01-31 23:46:03,125,420,0.12900096993210475
terraware/terraware-web,1030,10,291,2023-01-03 12:56:32,2023-01-31 23:47:24,274,301,0.28252427184466017
newjersey/navigator.business.nj.gov,1030,10,302,2023-01-01 06:57:34,2023-01-31 23:22:51,425,3,0.29320388349514565
binary-com/deriv-com,1029,24,759,2023-01-01 06:36:23,2023-01-31 16:36:29,207,753,0.7376093294460642
nlogozzo/NickvisionMoney,1029,31,0,2023-01-01 00:25:29,2023-01-31 12:58:39,135,304,0.0
SonarSource/sonar-dotnet,1028,23,468,2023-01-02 09:11:39,2023-01-31 18:53:08,123,597,0.45525291828793774
Automattic/woocommerce-payments,1027,91,168,2023-01-01 22:27:41,2023-01-31 22:49:09,140,467,0.16358325219084713
ValveSoftware/Proton,1025,406,2,2023-01-01 01:12:14,2023-01-31 23:37:21,7,1013,0.001951219512195122
istio/istio.io,1024,30,20,2023-01-01 02:53:36,2023-01-31 23:48:15,251,650,0.01953125
juspay/hyperswitch,1024,26,0,2023-01-10 11:23:18,2023-01-31 19:47:17,255,74,0.0
endoflife-date/endoflife.date,1024,30,131,2023-01-01 01:52:28,2023-01-31 21:21:24,264,499,0.1279296875
JoeBidenWhatAreYouHiding/kx,1024,19,0,2023-01-01 00:13:41,2023-01-31 23:54:41,0,5,0.0
Koenkk/zigbee-herdsman-converters,1022,180,65,2023-01-01 01:17:15,2023-01-31 20:33:01,307,497,0.06360078277886497
cds-snc/platform-forms-client,1022,12,440,2023-01-03 03:20:17,2023-01-31 21:50:38,133,181,0.43052837573385516
web-platform-tests/wpt-metadata,1021,10,726,2023-01-02 09:38:23,2023-01-31 22:03:23,593,21,0.7110675808031341
gc-proto/cra-arc,1021,9,0,2023-01-03 16:30:46,2023-01-31 22:59:16,2,0,0.0
google/oss-fuzz,1021,77,15,2023-01-02 09:07:28,2023-01-31 23:47:33,379,407,0.014691478942213516
TykTechnologies/tyk-docs,1021,26,264,2023-01-02 14:51:34,2023-01-31 17:33:48,236,302,0.25857002938295787
opencrvs/opencrvs-core,1020,27,160,2023-01-02 08:30:58,2023-01-31 13:54:57,126,400,0.1568627450980392
uiowa/uiowa,1020,15,24,2023-01-01 20:22:30,2023-01-31 23:30:39,87,493,0.023529411764705882
vim/vim,1019,135,64,2023-01-01 00:41:58,2023-01-31 21:13:46,154,725,0.06280667320902845
Azure/AgentBaker,1018,33,6,2023-01-02 12:12:30,2023-01-31 23:26:07,314,47,0.005893909626719057
layer5io/layer5,1016,76,94,2023-01-01 13:12:24,2023-01-31 23:29:32,125,719,0.09251968503937008
Cray-HPE/docs-csm,1016,40,89,2023-01-01 03:12:32,2023-01-31 22:58:07,345,118,0.08759842519685039
apache/incubator-seatunnel,1016,72,139,2023-01-01 00:25:57,2023-01-31 15:32:51,246,679,0.13681102362204725
googleapis/google-cloud-go,1016,65,600,2023-01-02 01:44:44,2023-01-31 23:41:18,171,384,0.5905511811023622
aliriodi/3DSeller,1015,7,210,2023-01-05 19:47:10,2023-01-27 23:14:11,439,213,0.20689655172413793
remotion-dev/remotion,1015,43,101,2023-01-01 18:13:08,2023-01-31 19:48:32,165,373,0.09950738916256158
golang/vulndb,1014,14,528,2023-01-03 20:25:12,2023-01-31 21:39:23,5,947,0.5207100591715976
echo-webkom/echo-web,1014,11,559,2023-01-01 21:16:56,2023-01-31 21:44:00,236,401,0.5512820512820513
prisma/docs,1013,48,229,2023-01-03 08:48:22,2023-01-31 20:41:13,216,357,0.22606120434353405
actualbudget/actual,1013,34,103,2023-01-01 01:01:36,2023-01-31 22:59:01,174,692,0.1016781836130306
onlydustxyz/marketplace,1012,8,263,2023-01-02 09:40:46,2023-01-31 23:10:07,255,273,0.2598814229249012
navikt/pensjon-etterlatte-saksbehandling,1012,15,25,2023-01-02 09:07:12,2023-01-31 22:46:09,349,57,0.024703557312252964
massalabs/massa,1011,28,252,2023-01-01 10:06:37,2023-01-31 19:28:44,95,409,0.24925816023738873
hzi-braunschweig/SORMAS-Project,1011,25,94,2023-01-02 10:17:54,2023-01-31 15:59:30,179,331,0.09297725024727992
dotnet/dotnet-monitor,1010,9,565,2023-01-01 13:31:34,2023-01-31 23:08:02,506,182,0.5594059405940595
ada-url/ada,1010,5,81,2023-01-01 20:34:53,2023-01-31 23:37:11,221,308,0.0801980198019802
codigoencasa/bot-whatsapp,1010,23,224,2023-01-01 12:58:56,2023-01-31 21:03:32,442,98,0.22178217821782178
NHSDigital/electronic-prescription-service-api,1010,14,421,2023-01-02 20:16:23,2023-01-31 23:18:34,234,276,0.4168316831683168
armbian/build,1009,52,153,2023-01-01 01:41:13,2023-01-31 23:24:38,251,389,0.15163528245787908
googleapis/google-cloud-ruby,1006,18,529,2023-01-02 08:54:21,2023-01-31 12:15:01,350,322,0.525844930417495
china1206m/ReAp,1005,6,0,2023-01-01 00:51:51,2023-01-31 20:37:37,0,0,0.0
open-condo-software/condo,1005,17,419,2023-01-02 15:24:16,2023-01-31 21:11:05,150,145,0.41691542288557215
SAP/ui5-webcomponents-react,1003,28,541,2023-01-02 00:10:57,2023-01-31 17:25:36,199,370,0.53938185443669
godotengine/godot-proposals,1002,270,8,2023-01-01 08:20:20,2023-01-31 23:37:42,0,1002,0.007984031936127744
Meeds-io/gatein-portal,1002,9,52,2023-01-01 03:12:24,2023-01-31 19:04:58,54,58,0.05189620758483034
PyCQA/pylint,1002,96,238,2023-01-01 00:23:59,2023-01-31 23:17:47,149,782,0.2375249500998004
ovh/docs,1001,29,16,2023-01-02 08:31:18,2023-01-31 18:00:14,329,70,0.015984015984015984
ethereum/EIPs,1001,109,545,2023-01-01 00:19:54,2023-01-31 23:45:14,298,563,0.5444555444555444
influxdata/telegraf,1000,133,180,2023-01-02 23:01:25,2023-01-31 23:34:19,138,779,0.18
moby/moby,1000,175,0,2023-01-01 00:09:51,2023-01-31 21:37:24,234,665,0.0
Tencent/tdesign-miniprogram,1000,41,291,2023-01-01 01:40:00,2023-01-31 16:34:34,192,648,0.291
astronomer/docs,1000,32,87,2023-01-02 09:41:16,2023-01-31 22:19:29,204,268,0.087
