repository,total_events,active_contributors,bot_events,first_event,last_event,pr_events,issue_events,bot_ratio
mattermost/mattermost-mobile,1259,85,12,2023-01-01 07:50:27,2023-01-31 23:51:25,220,780,0.009531374106433678
ranaroussi/yfinance,1258,189,0,2023-01-01 13:46:48,2023-01-31 22:12:25,60,1084,0.0
codestates-seb/seb41_main_004,1258,7,0,2023-01-03 06:37:52,2023-01-31 07:55:00,490,264,0.0
unlock-protocol/unlock,1257,14,142,2023-01-01 09:59:18,2023-01-31 20:15:43,329,239,0.11296738265712013
codestates-seb/seb41_main_020,1257,6,0,2023-01-06 04:32:15,2023-01-30 22:07:45,525,239,0.0
betagouv/itou,1253,14,92,2023-01-02 08:01:59,2023-01-31 17:24:28,306,127,0.07342378292098962
NethermindEth/nethermind,1252,42,6,2023-01-01 07:10:32,2023-01-31 20:34:48,224,284,0.004792332268370607
DIYgod/RSSHub,1249,97,651,2023-01-01 01:14:33,2023-01-31 23:00:44,275,775,0.5212169735788631
servo/servo,1246,31,57,2023-01-01 01:39:18,2023-01-31 22:58:56,187,692,0.045746388443017656
wordpress-mobile/WordPress-iOS,1243,38,372,2023-01-01 16:50:31,2023-01-31 19:21:44,222,698,0.29927594529364443
SmartlyDressedGames/Unturned-3.x-Community,1240,49,0,2023-01-01 02:19:16,2023-01-31 23:28:19,1,1237,0.0
Agoric/agoric-sdk,1239,26,280,2023-01-01 01:51:30,2023-01-31 23:55:28,180,484,0.22598870056497175
bridgecrewio/checkov,1239,85,42,2023-01-01 07:02:30,2023-01-31 23:50:43,302,206,0.03389830508474576
emscripten-core/emscripten,1239,87,0,2023-01-01 01:52:56,2023-01-31 23:24:40,227,629,0.0
mozilla-mobile/firefox-ios,1239,95,245,2023-01-02 06:51:47,2023-01-31 22:25:04,225,905,0.1977401129943503
LibreOffice/core,1238,5,4,2023-01-01 10:13:43,2023-01-31 21:54:49,4,4,0.0032310177705977385
keinsell/neuronek,1237,13,693,2023-01-10 01:00:58,2023-01-31 22:11:12,167,610,0.5602263540824576
vaadin/flow-components,1237,54,392,2023-01-01 19:19:35,2023-01-31 15:37:45,214,605,0.31689571544058204
concrete-utopia/utopia,1236,13,323,2023-01-02 08:33:38,2023-01-31 23:21:10,288,368,0.2613268608414239
OpenMage/magento-lts,1235,34,16,2023-01-01 09:23:32,2023-01-31 18:53:46,248,768,0.012955465587044534
transmission/transmission,1234,114,12,2023-01-01 01:03:47,2023-01-31 23:49:06,213,826,0.009724473257698542
webstudio-is/webstudio-designer,1233,10,126,2023-01-01 17:58:12,2023-01-31 22:03:13,256,357,0.10218978102189781
microsoft/AzureTRE,1231,22,383,2023-01-01 12:24:43,2023-01-31 17:44:54,172,635,0.31112916328188467
filecoin-project/lotus,1228,60,41,2023-01-01 22:06:18,2023-01-31 22:51:33,251,384,0.033387622149837134
elastic/apm-server,1228,33,304,2023-01-01 00:30:51,2023-01-31 20:17:26,363,670,0.247557003257329
grpc/grpc,1227,169,28,2023-01-02 08:19:52,2023-01-31 23:53:40,399,640,0.022819885900570498
kubermatic/dashboard,1226,23,859,2023-01-02 07:40:13,2023-01-31 20:30:42,173,971,0.700652528548124
pivotal/docs-tap,1226,62,126,2023-01-03 14:52:23,2023-01-31 23:27:57,242,179,0.10277324632952692
peter-hanzo/pub-0,1225,5,134,2023-01-09 08:58:36,2023-01-31 17:15:58,230,135,0.10938775510204081
glpi-project/glpi,1221,100,112,2023-01-01 11:02:34,2023-01-31 21:41:29,350,690,0.09172809172809172
AlenaMushko/Filmoteka_teamwork,1221,13,260,2023-01-05 23:30:53,2023-01-30 13:22:10,434,2,0.21294021294021295
vector-im/element-android,1221,142,396,2023-01-01 10:29:31,2023-01-31 23:05:24,214,685,0.32432432432432434
penrose/penrose,1220,14,616,2023-01-01 12:28:24,2023-01-31 19:39:37,154,321,0.5049180327868853
goalgorilla/open_social,1220,20,89,2023-01-01 00:03:54,2023-01-31 17:02:16,70,828,0.07295081967213114
mkrtichstepanyan/epam-trainings-2023,1220,63,0,2023-01-11 12:53:26,2023-01-31 21:47:57,530,29,0.0
rust-lang/cargo,1220,171,139,2023-01-01 08:32:44,2023-01-31 23:27:23,126,920,0.1139344262295082
reservoirprotocol/indexer,1218,14,13,2023-01-02 03:19:10,2023-01-31 23:11:06,586,12,0.010673234811165846
pfsense/FreeBSD-ports,1218,11,0,2023-01-01 00:50:33,2023-01-31 19:50:32,24,9,0.0
plexsoup/GWJ53,1217,7,0,2023-01-13 23:13:56,2023-01-29 06:55:53,381,174,0.0
PX4/PX4-Autopilot,1217,119,220,2023-01-01 00:39:16,2023-01-31 23:21:12,259,468,0.18077239112571897
d8ahazard/sd_dreambooth_extension,1216,257,23,2023-01-01 00:25:18,2023-01-31 23:29:58,102,932,0.018914473684210526
streetwriters/notesnook,1216,51,196,2023-01-01 00:18:20,2023-01-31 22:22:54,106,839,0.1611842105263158
pharo-project/pharo,1214,45,9,2023-01-01 20:26:40,2023-01-31 22:00:13,370,713,0.007413509060955519
OrchardCMS/OrchardCore,1212,58,16,2023-01-01 04:16:52,2023-01-31 20:34:30,176,837,0.013201320132013201
infosecstreams/infosecstreams.github.io,1211,8,35,2023-01-01 00:00:21,2023-01-31 23:53:03,13,2,0.028901734104046242
CSSEGISandData/COVID-19,1211,24,0,2023-01-01 00:32:32,2023-01-31 23:32:17,161,90,0.0
StarRocks/docs.zh-cn,1211,22,254,2023-01-03 03:21:16,2023-01-31 12:27:17,598,291,0.2097440132122213
onflow/flow-go,1210,31,442,2023-01-02 14:30:25,2023-01-31 23:56:23,194,398,0.3652892561983471
openwrt/packages,1209,155,28,2023-01-01 03:07:50,2023-01-31 22:46:59,324,695,0.02315963606286187
bcgov/sso-terraform,1208,5,3,2023-01-03 16:50:46,2023-01-31 22:50:34,350,3,0.0024834437086092716
zooniverse/front-end-monorepo,1208,7,307,2023-01-02 10:34:45,2023-01-31 23:57:53,277,344,0.2541390728476821
Liquipedia/Lua-Modules,1206,13,28,2023-01-01 15:57:09,2023-01-31 21:11:28,373,202,0.02321724709784411
taichi-dev/taichi,1204,45,199,2023-01-01 01:38:35,2023-01-31 23:38:40,415,471,0.16528239202657807
bazelbuild/intellij,1204,48,559,2023-01-02 10:44:07,2023-01-31 23:42:36,201,531,0.4642857142857143
hazelcast/hazelcast-platform-operator,1204,11,628,2023-01-01 09:26:31,2023-01-31 22:03:28,130,13,0.521594684385382
dresden-elektronik/deconz-rest-plugin,1203,171,71,2023-01-01 01:28:26,2023-01-31 22:28:43,98,1045,0.05901911886949293
rstudio/rstudio,1203,206,120,2023-01-01 03:29:08,2023-01-31 23:34:15,94,733,0.09975062344139651
jlord/patchwork,1201,298,733,2023-01-01 18:09:33,2023-01-31 20:52:16,660,192,0.6103247293921732
geneontology/go-ontology,1200,40,54,2023-01-01 15:49:27,2023-01-31 17:32:31,259,714,0.045
openshift/microshift,1199,28,844,2023-01-01 09:39:37,2023-01-31 22:06:39,155,946,0.7039199332777314
nextauthjs/next-auth,1199,307,137,2023-01-01 02:08:47,2023-01-31 23:01:55,166,846,0.11426188490408674
stamparm/maltrail,1198,5,0,2023-01-01 00:36:08,2023-01-31 18:18:08,5,19,0.0
apache/tvm,1198,103,221,2023-01-01 05:02:29,2023-01-31 23:54:29,355,648,0.18447412353923207
ILIAS-eLearning/ILIAS,1197,40,5,2023-01-01 10:48:16,2023-01-31 21:26:36,307,209,0.004177109440267335
cityofaustin/atd-data-tech,1196,28,50,2023-01-02 18:39:35,2023-01-31 22:42:17,0,1192,0.04180602006688963
ansible-collections/community.general,1196,114,457,2023-01-01 02:12:56,2023-01-31 22:19:25,274,783,0.38210702341137126
grafana/agent,1195,70,39,2023-01-01 21:58:56,2023-01-31 23:02:20,256,438,0.032635983263598324
BSData/wh40k,1194,146,4,2023-01-01 00:33:29,2023-01-31 22:04:10,37,959,0.0033500837520938024
Yoast/wordpress-seo,1193,94,42,2023-01-01 05:31:36,2023-01-31 16:22:07,174,544,0.03520536462699078
rancher/dashboard,1192,82,88,2023-01-02 09:25:41,2023-01-31 22:07:54,184,836,0.0738255033557047
adobe/react-spectrum,1192,79,372,2023-01-02 11:39:09,2023-01-31 23:52:52,108,740,0.31208053691275167
odoo/o-spreadsheet,1192,16,0,2023-01-02 08:27:42,2023-01-31 20:39:48,138,220,0.0
conan-io/conan,1192,127,0,2023-01-01 15:00:21,2023-01-31 20:25:49,160,937,0.0
EdgeTX/edgetx,1192,86,1,2023-01-01 01:12:00,2023-01-31 22:31:25,137,885,0.0008389261744966443
codestates-seb/seb41_main_006,1190,8,30,2023-01-03 07:07:13,2023-01-31 08:50:51,551,198,0.025210084033613446
nuxt/framework,1189,247,176,2023-01-01 01:45:54,2023-01-30 11:50:44,165,762,0.14802354920100924
languagetool-org/languagetool,1188,55,0,2023-01-01 04:11:02,2023-01-31 20:40:04,125,389,0.0
NixOS/nix,1185,197,23,2023-01-01 00:33:46,2023-01-31 23:53:29,219,870,0.019409282700421943
na2na-p/sns-app,1184,5,458,2023-01-11 03:08:56,2023-01-31 13:08:26,270,179,0.38682432432432434
nvim-treesitter/nvim-treesitter,1184,157,227,2023-01-01 12:02:34,2023-01-31 17:46:31,266,623,0.19172297297297297
enso-org/enso,1184,21,291,2023-01-02 08:34:54,2023-01-31 21:58:00,170,86,0.24577702702702703
18F/identity-idp,1183,37,3,2023-01-01 17:37:20,2023-01-31 22:37:33,303,79,0.00253592561284869
